job_id=605826
array_job_id=605822
array_task_id=0
job_name=vs3n2st4
partition=epyc
node_list=cent
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma2p000
mode=gauss
sigma=2.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma2p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 18000/277470 6.5% t=99.42987 eta_s=56580.8 E=-0.99830233 P=0.80307490 dP=-0.19658399 r12=8.01546776 Vg=0.00009894 norm=1.00000000 rank=32/256 sv_max=7.03e+02 resid=1.08e-01
progress N=2 step 18250/277470 6.6% t=99.67987 eta_s=56515.3 E=-0.99728857 P=0.80247009 dP=-0.19718880 r12=8.01318150 Vg=0.00009893 norm=1.00000000 rank=32/256 sv_max=6.74e+02 resid=1.24e-01
progress N=2 step 18500/277470 6.7% t=99.92987 eta_s=56464.2 E=-0.99627852 P=0.80188604 dP=-0.19777285 r12=8.01078411 Vg=0.00010012 norm=1.00000000 rank=32/256 sv_max=6.81e+02 resid=1.39e-01
progress N=2 step 18750/277470 6.8% t=100.17987 eta_s=56416.6 E=-0.99527193 P=0.80133098 dP=-0.19832792 r12=8.00815670 Vg=0.00010246 norm=1.00000000 rank=31/256 sv_max=7.06e+02 resid=1.32e-01
progress N=2 step 19000/277470 6.8% t=100.42987 eta_s=56355.5 E=-0.99426839 P=0.80080814 dP=-0.19885076 r12=8.00537076 Vg=0.00010487 norm=1.00000000 rank=31/256 sv_max=7.12e+02 resid=1.21e-01
progress N=2 step 19250/277470 6.9% t=100.60496 eta_s=56276.8 E=-0.99356747 P=0.80046252 dP=-0.19919637 r12=8.00343944 Vg=0.00010644 norm=1.00000000 rank=32/256 sv_max=7.13e+02 resid=1.21e-01
progress N=2 step 19500/277470 7.0% t=100.72996 eta_s=56229.6 E=-0.99306766 P=0.80022317 dP=-0.19943572 r12=8.00212039 Vg=0.00010761 norm=1.00000000 rank=32/256 sv_max=7.18e+02 resid=1.24e-01
progress N=2 step 19750/277470 7.1% t=100.85496 eta_s=56180.5 E=-0.99256885 P=0.79998644 dP=-0.19967245 r12=8.00086450 Vg=0.00010889 norm=1.00000000 rank=32/256 sv_max=7.26e+02 resid=1.30e-01
progress N=2 step 20000/277470 7.2% t=100.97996 eta_s=56133.5 E=-0.99207031 P=0.79974905 dP=-0.19990984 r12=7.99966539 Vg=0.00011024 norm=1.00000000 rank=31/256 sv_max=7.33e+02 resid=1.39e-01
progress N=2 step 20250/277470 7.3% t=101.10496 eta_s=56089.2 E=-0.99157297 P=0.79950546 dP=-0.20015343 r12=7.99849568 Vg=0.00011143 norm=1.00000000 rank=31/256 sv_max=7.36e+02 resid=1.48e-01
progress N=2 step 20500/277470 7.4% t=101.22996 eta_s=56046.8 E=-0.99107602 P=0.79925680 dP=-0.20040209 r12=7.99736050 Vg=0.00011218 norm=1.00000000 rank=31/256 sv_max=7.36e+02 resid=1.57e-01
