job_id=606191
array_job_id=606188
array_task_id=0
job_name=vs3n2fu2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma0p750
mode=gauss
sigma=0.75
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:56:41+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma0p750 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 13250/1005310 1.3% t=6.62500 eta_s=377025.5 E=-2.09205579 P=0.97486664 dP=-0.02479226 r12=8.04572222 Vg=0.00000083 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=8.19e-03
progress N=2 step 13500/1005310 1.3% t=6.75000 eta_s=376745.7 E=-2.08988140 P=0.97400765 dP=-0.02565124 r12=8.04577880 Vg=0.00000082 norm=1.00000000 rank=35/256 sv_max=9.75e+01 resid=8.20e-03
progress N=2 step 13750/1005310 1.4% t=6.87500 eta_s=376840.5 E=-2.08768932 P=0.97311586 dP=-0.02654303 r12=8.04585570 Vg=0.00000080 norm=1.00000000 rank=36/256 sv_max=9.34e+01 resid=8.14e-03
progress N=2 step 14000/1005310 1.4% t=7.00000 eta_s=376576.0 E=-2.08548089 P=0.97220194 dP=-0.02745695 r12=8.04595685 Vg=0.00000078 norm=1.00000000 rank=35/256 sv_max=9.97e+01 resid=8.65e-03
progress N=2 step 14250/1005310 1.4% t=7.12500 eta_s=376755.6 E=-2.08325730 P=0.97127902 dP=-0.02837987 r12=8.04606794 Vg=0.00000077 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=8.83e-03
progress N=2 step 14500/1005310 1.4% t=7.25000 eta_s=376950.3 E=-2.08101938 P=0.97035963 dP=-0.02929927 r12=8.04617454 Vg=0.00000075 norm=1.00000000 rank=35/256 sv_max=1.05e+02 resid=8.96e-03
progress N=2 step 14750/1005310 1.5% t=7.37500 eta_s=376905.9 E=-2.07876721 P=0.96945462 dP=-0.03020428 r12=8.04627152 Vg=0.00000075 norm=1.00000000 rank=35/256 sv_max=9.76e+01 resid=9.32e-03
progress N=2 step 15000/1005310 1.5% t=7.50000 eta_s=377101.4 E=-2.07650070 P=0.96857401 dP=-0.03108488 r12=8.04635445 Vg=0.00000076 norm=1.00000000 rank=35/256 sv_max=9.46e+01 resid=9.46e-03
progress N=2 step 15250/1005310 1.5% t=7.62500 eta_s=377303.3 E=-2.07421952 P=0.96772952 dP=-0.03192937 r12=8.04642081 Vg=0.00000077 norm=1.00000000 rank=35/256 sv_max=9.99e+01 resid=9.86e-03
progress N=2 step 15500/1005310 1.5% t=7.75000 eta_s=377319.4 E=-2.07192275 P=0.96693389 dP=-0.03272500 r12=8.04646407 Vg=0.00000077 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=1.01e-02
