job_id=605827
array_job_id=605823
array_task_id=0
job_name=vs3n2st3
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p250
mode=gauss
sigma=1.25
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p250 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 10500/277470 3.8% t=91.92987 eta_s=55489.5 E=-1.03059317 P=0.82598322 dP=-0.17367568 r12=8.01378143 Vg=0.00001280 norm=1.00000000 rank=30/256 sv_max=1.64e+03 resid=1.34e-01
progress N=2 step 10750/277470 3.9% t=92.17987 eta_s=55455.4 E=-1.02944410 P=0.82529622 dP=-0.17436267 r12=8.01422436 Vg=0.00001317 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.34e-01
progress N=2 step 11000/277470 4.0% t=92.42987 eta_s=55410.0 E=-1.02829958 P=0.82458478 dP=-0.17507411 r12=8.01486724 Vg=0.00001354 norm=1.00000000 rank=30/256 sv_max=1.66e+03 resid=1.37e-01
progress N=2 step 11250/277470 4.1% t=92.67987 eta_s=55379.4 E=-1.02715954 P=0.82386220 dP=-0.17579669 r12=8.01559684 Vg=0.00001387 norm=1.00000000 rank=30/256 sv_max=1.67e+03 resid=1.42e-01
progress N=2 step 11500/277470 4.1% t=92.92987 eta_s=55342.3 E=-1.02602405 P=0.82313635 dP=-0.17652255 r12=8.01634744 Vg=0.00001412 norm=1.00000000 rank=30/256 sv_max=1.68e+03 resid=1.46e-01
progress N=2 step 11750/277470 4.2% t=93.17987 eta_s=55306.8 E=-1.02489320 P=0.82241262 dP=-0.17724627 r12=8.01708266 Vg=0.00001430 norm=1.00000000 rank=30/256 sv_max=1.68e+03 resid=1.50e-01
progress N=2 step 12000/277470 4.3% t=93.42987 eta_s=55271.5 E=-1.02376702 P=0.82169692 dP=-0.17796197 r12=8.01775947 Vg=0.00001444 norm=1.00000000 rank=30/256 sv_max=1.67e+03 resid=1.52e-01
progress N=2 step 12250/277470 4.4% t=93.67987 eta_s=55225.0 E=-1.02264555 P=0.82099577 dP=-0.17866312 r12=8.01834085 Vg=0.00001455 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.53e-01
progress N=2 step 12500/277470 4.5% t=93.92987 eta_s=55189.9 E=-1.02152882 P=0.82031320 dP=-0.17934569 r12=8.01884296 Vg=0.00001466 norm=1.00000000 rank=30/256 sv_max=1.64e+03 resid=1.51e-01
progress N=2 step 12750/277470 4.6% t=94.17987 eta_s=55058.4 E=-1.02041684 P=0.81964789 dP=-0.18001100 r12=8.01934989 Vg=0.00001478 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.46e-01
progress N=2 step 13000/277470 4.7% t=94.42987 eta_s=55001.7 E=-1.01930955 P=0.81899277 dP=-0.18066612 r12=8.01996771 Vg=0.00001490 norm=1.00000000 rank=30/256 sv_max=1.65e+03 resid=1.41e-01
progress N=2 step 13250/277470 4.8% t=94.67987 eta_s=54929.9 E=-1.01820688 P=0.81833707 dP=-0.18132182 r12=8.02076630 Vg=0.00001500 norm=1.00000000 rank=30/256 sv_max=1.66e+03 resid=1.36e-01
progress N=2 step 13500/277470 4.9% t=94.92987 eta_s=54874.6 E=-1.01710900 P=0.81767109 dP=-0.18198780 r12=8.02175561 Vg=0.00001501 norm=1.00000000 rank=30/256 sv_max=1.67e+03 resid=1.31e-01
progress N=2 step 13750/277470 5.0% t=95.17987 eta_s=54844.2 E=-1.01601544 P=0.81699043 dP=-0.18266846 r12=8.02290219 Vg=0.00001491 norm=1.00000000 rank=30/256 sv_max=1.69e+03 resid=1.25e-01
progress N=2 step 14000/277470 5.0% t=95.42987 eta_s=54775.1 E=-1.01492592 P=0.81629545 dP=-0.18336345 r12=8.02414492 Vg=0.00001472 norm=1.00000000 rank=30/256 sv_max=1.73e+03 resid=1.19e-01
progress N=2 step 14250/277470 5.1% t=95.67987 eta_s=54689.2 E=-1.01384037 P=0.81559098 dP=-0.18406791 r12=8.02538964 Vg=0.00001450 norm=1.00000000 rank=29/256 sv_max=1.77e+03 resid=1.15e-01
progress N=2 step 14500/277470 5.2% t=95.92987 eta_s=54610.4 E=-1.01275886 P=0.81488074 dP=-0.18477815 r12=8.02650907 Vg=0.00001432 norm=1.00000000 rank=29/256 sv_max=1.81e+03 resid=1.12e-01
progress N=2 step 14750/277470 5.3% t=96.17987 eta_s=54553.6 E=-1.01168155 P=0.81416498 dP=-0.18549392 r12=8.02738851 Vg=0.00001420 norm=1.00000000 rank=29/256 sv_max=1.83e+03 resid=1.11e-01
progress N=2 step 15000/277470 5.4% t=96.42987 eta_s=54546.8 E=-1.01060861 P=0.81344248 dP=-0.18621641 r12=8.02797715 Vg=0.00001413 norm=1.00000000 rank=29/256 sv_max=1.84e+03 resid=1.08e-01
progress N=2 step 15250/277470 5.5% t=96.67987 eta_s=54499.9 E=-1.00954017 P=0.81271024 dP=-0.18694865 r12=8.02831336 Vg=0.00001407 norm=1.00000000 rank=29/256 sv_max=1.84e+03 resid=1.05e-01
progress N=2 step 15500/277470 5.6% t=96.92987 eta_s=54459.4 E=-1.00847630 P=0.81196263 dP=-0.18769626 r12=8.02850255 Vg=0.00001396 norm=1.00000000 rank=29/256 sv_max=1.84e+03 resid=1.02e-01
progress N=2 step 15750/277470 5.7% t=97.17987 eta_s=54417.5 E=-1.00741728 P=0.81119097 dP=-0.18846792 r12=8.02867769 Vg=0.00001375 norm=1.00000000 rank=29/256 sv_max=1.83e+03 resid=1.01e-01
progress N=2 step 16000/277470 5.8% t=97.42987 eta_s=54367.0 E=-1.00636281 P=0.81038403 dP=-0.18927486 r12=8.02896569 Vg=0.00001341 norm=1.00000000 rank=29/256 sv_max=1.82e+03 resid=1.02e-01
progress N=2 step 16250/277470 5.9% t=97.67987 eta_s=54310.3 E=-1.00531292 P=0.80953369 dP=-0.19012520 r12=8.02946563 Vg=0.00001299 norm=1.00000000 rank=29/256 sv_max=1.81e+03 resid=1.06e-01
progress N=2 step 16500/277470 5.9% t=97.92987 eta_s=54258.0 E=-1.00426769 P=0.80864150 dP=-0.19101739 r12=8.03022555 Vg=0.00001256 norm=1.00000000 rank=29/256 sv_max=1.81e+03 resid=1.12e-01
progress N=2 step 16750/277470 6.0% t=98.17987 eta_s=54211.8 E=-1.00322715 P=0.80771773 dP=-0.19194116 r12=8.03121523 Vg=0.00001220 norm=1.00000000 rank=29/256 sv_max=1.81e+03 resid=1.19e-01
progress N=2 step 17000/277470 6.1% t=98.42987 eta_s=54144.5 E=-1.00219127 P=0.80677586 dP=-0.19288303 r12=8.03232486 Vg=0.00001199 norm=1.00000000 rank=29/256 sv_max=1.82e+03 resid=1.29e-01
progress N=2 step 17250/277470 6.2% t=98.67987 eta_s=54078.9 E=-1.00115997 P=0.80582997 dP=-0.19382892 r12=8.03340952 Vg=0.00001191 norm=1.00000000 rank=29/256 sv_max=1.84e+03 resid=1.39e-01
progress N=2 step 17500/277470 6.3% t=98.92987 eta_s=54035.6 E=-1.00013329 P=0.80489609 dP=-0.19476280 r12=8.03435002 Vg=0.00001192 norm=1.00000000 rank=29/256 sv_max=1.86e+03 resid=1.48e-01
progress N=2 step 17750/277470 6.4% t=99.17987 eta_s=53977.8 E=-0.99911115 P=0.80399349 dP=-0.19566540 r12=8.03507851 Vg=0.00001191 norm=1.00000000 rank=29/256 sv_max=1.88e+03 resid=1.54e-01
progress N=2 step 18000/277470 6.5% t=99.42987 eta_s=53899.5 E=-0.99809317 P=0.80314078 dP=-0.19651811 r12=8.03555737 Vg=0.00001183 norm=1.00000000 rank=29/256 sv_max=1.90e+03 resid=1.59e-01
progress N=2 step 18250/277470 6.6% t=99.67987 eta_s=53835.3 E=-0.99707920 P=0.80235128 dP=-0.19730761 r12=8.03575393 Vg=0.00001166 norm=1.00000000 rank=29/256 sv_max=1.90e+03 resid=1.62e-01
progress N=2 step 18500/277470 6.7% t=99.92987 eta_s=53786.0 E=-0.99606909 P=0.80163207 dP=-0.19802682 r12=8.03565334 Vg=0.00001147 norm=1.00000000 rank=29/256 sv_max=1.89e+03 resid=1.63e-01
progress N=2 step 18750/277470 6.8% t=100.17987 eta_s=53748.5 E=-0.99506271 P=0.80098246 dP=-0.19867643 r12=8.03528152 Vg=0.00001132 norm=1.00000000 rank=29/256 sv_max=1.89e+03 resid=1.61e-01
progress N=2 step 19000/277470 6.8% t=100.42987 eta_s=53702.4 E=-0.99405993 P=0.80039446 dP=-0.19926443 r12=8.03470163 Vg=0.00001131 norm=1.00000000 rank=29/256 sv_max=1.89e+03 resid=1.57e-01
progress N=2 step 19250/277470 6.9% t=100.60496 eta_s=53643.5 E=-0.99336001 P=0.80001188 dP=-0.19964701 r12=8.03421199 Vg=0.00001138 norm=1.00000000 rank=29/256 sv_max=1.91e+03 resid=1.56e-01
