job_id=605824
array_job_id=605824
array_task_id=1
job_name=vs3n2st2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:40+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 8500/277470 3.1% t=85.00000 eta_s=57409.9 E=-1.06173031 P=0.83781255 dP=-0.16184634 r12=7.98450378 Vg=0.00000334 norm=1.00000000 rank=30/256 sv_max=5.52e+02 resid=1.95e-01
progress N=2 step 8750/277470 3.2% t=87.50000 eta_s=57382.0 E=-1.04933915 P=0.83090480 dP=-0.16875409 r12=7.97705798 Vg=0.00000146 norm=1.00000000 rank=30/256 sv_max=6.07e+02 resid=2.10e-01
progress N=2 step 9000/277470 3.2% t=90.00000 eta_s=57373.3 E=-1.03742572 P=0.82761888 dP=-0.17204001 r12=7.97097862 Vg=0.00000234 norm=1.00000000 rank=30/256 sv_max=6.27e+02 resid=4.47e-01
progress N=2 step 9250/277470 3.3% t=90.67987 eta_s=57362.1 E=-1.03424820 P=0.82690245 dP=-0.17275644 r12=7.97223573 Vg=0.00000280 norm=1.00000000 rank=30/256 sv_max=6.18e+02 resid=4.12e-01
progress N=2 step 9500/277470 3.4% t=90.92987 eta_s=57334.1 E=-1.03308596 P=0.82664717 dP=-0.17301172 r12=7.97221780 Vg=0.00000285 norm=1.00000000 rank=30/256 sv_max=6.31e+02 resid=3.81e-01
progress N=2 step 9750/277470 3.5% t=91.17987 eta_s=57282.0 E=-1.03192692 P=0.82639257 dP=-0.17326632 r12=7.97180176 Vg=0.00000267 norm=1.00000000 rank=30/256 sv_max=6.37e+02 resid=3.32e-01
progress N=2 step 10000/277470 3.6% t=91.42987 eta_s=57233.4 E=-1.03077143 P=0.82613222 dP=-0.17352667 r12=7.97078817 Vg=0.00000256 norm=1.00000000 rank=30/256 sv_max=6.31e+02 resid=2.91e-01
progress N=2 step 10250/277470 3.7% t=91.67987 eta_s=57221.6 E=-1.02961969 P=0.82583685 dP=-0.17382204 r12=7.96922446 Vg=0.00000279 norm=1.00000000 rank=30/256 sv_max=6.47e+02 resid=2.62e-01
progress N=2 step 10500/277470 3.8% t=91.92987 eta_s=57209.7 E=-1.02847165 P=0.82549296 dP=-0.17416593 r12=7.96725718 Vg=0.00000324 norm=1.00000000 rank=30/256 sv_max=6.72e+02 resid=2.38e-01
progress N=2 step 10750/277470 3.9% t=92.17987 eta_s=57194.8 E=-1.02732750 P=0.82507799 dP=-0.17458090 r12=7.96508701 Vg=0.00000355 norm=1.00000000 rank=30/256 sv_max=6.78e+02 resid=2.41e-01
progress N=2 step 11000/277470 4.0% t=92.42987 eta_s=57165.6 E=-1.02618732 P=0.82459145 dP=-0.17506744 r12=7.96286029 Vg=0.00000363 norm=1.00000000 rank=30/256 sv_max=6.59e+02 resid=2.67e-01
progress N=2 step 11250/277470 4.1% t=92.67987 eta_s=56973.4 E=-1.02505084 P=0.82403063 dP=-0.17562826 r12=7.96080077 Vg=0.00000381 norm=1.00000000 rank=30/256 sv_max=6.72e+02 resid=2.80e-01
progress N=2 step 11500/277470 4.1% t=92.92987 eta_s=56766.6 E=-1.02391800 P=0.82339888 dP=-0.17626001 r12=7.95908146 Vg=0.00000407 norm=1.00000000 rank=29/256 sv_max=6.68e+02 resid=2.83e-01
progress N=2 step 11750/277470 4.2% t=93.17987 eta_s=56666.6 E=-1.02278872 P=0.82276507 dP=-0.17689382 r12=7.95769287 Vg=0.00000427 norm=1.00000000 rank=29/256 sv_max=6.55e+02 resid=3.09e-01
progress N=2 step 12000/277470 4.3% t=93.42987 eta_s=56619.1 E=-1.02166301 P=0.82218661 dP=-0.17747228 r12=7.95662526 Vg=0.00000460 norm=1.00000000 rank=30/256 sv_max=6.71e+02 resid=3.45e-01
